run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
forum_gru_norec_s43,forum,thgl-forum,gru-ordinary,0.001,off,global,43,False,0.3859092983720559,0.3826520963172611,0.5052439178398926,2,4.0,36634.0,36506.0,0.0,True,,,False,2026-09-22 14:14
forum_gru_norec_s46,forum,thgl-forum,gru-ordinary,0.001,off,global,46,False,0.3984308505288013,0.3931718072355609,0.5123279397150329,1,4.0,36634.0,36506.0,0.0,True,,,False,2026-09-22 14:13
forum_gru_norec_s47,forum,thgl-forum,gru-ordinary,0.001,off,global,47,False,0.3836228740179582,0.3807096204696473,0.5356753313030906,4,4.0,36634.0,36506.0,0.0,True,,,False,2026-09-22 14:27
forum_gru_rec_s43,forum,thgl-forum,gru-ordinary,0.001,on,global,43,False,0.6413849602950269,0.6510573666335847,0.7034433493845271,4,4.0,36763.0,36635.0,0.0,True,,,False,2026-09-22 14:52
forum_gru_rec_s46,forum,thgl-forum,gru-ordinary,0.001,on,global,46,False,0.6353511992486495,0.6418185817219909,0.683935557252383,3,4.0,36763.0,36635.0,0.0,True,,,False,2026-09-22 14:47
forum_gru_rec_s47,forum,thgl-forum,gru-ordinary,0.001,on,global,47,False,0.6313186641464578,0.6414196089544304,0.6882272206146484,2,4.0,36763.0,36635.0,0.0,True,,,False,2026-09-22 15:18
forum_gru_recoff_s44,forum,thgl-forum,gru-ordinary,0.001,off,global,44,False,0.4006612518672501,0.3936080158381661,0.5235804380321689,3,4.0,36634.0,36506.0,0.0,True,,,False,2026-09-22 14:52
forum_gru_recoff_s45,forum,thgl-forum,gru-ordinary,0.001,off,global,45,False,0.3269869265245945,0.3307540302896738,0.5178930161986217,2,4.0,36634.0,36506.0,0.0,True,,,False,2026-09-22 15:59
forum_gru_recon_s44,forum,thgl-forum,gru-ordinary,0.001,on,global,44,False,0.614310811487797,0.6232976227237705,0.6686795839906967,1,4.0,36763.0,36635.0,0.0,True,,,False,2026-09-22 17:16
forum_gru_recon_s45,forum,thgl-forum,gru-ordinary,0.001,on,global,45,False,0.6456145811694726,0.6528150814829959,0.7038176838652164,3,4.0,36763.0,36635.0,0.0,True,,,False,2026-09-22 16:02
forum_identity_recoff_s44,forum,thgl-forum,identity-maps,0.001,off,global,44,False,0.3195045474949937,0.3143607720908815,0.5305196669864118,3,4.0,630142.0,630014.0,0.0,True,,,False,2026-09-22 16:21
forum_identity_recoff_s45,forum,thgl-forum,identity-maps,0.001,off,global,45,False,0.4180225102833923,0.411829866998223,0.5658020016271542,2,4.0,630142.0,630014.0,0.0,True,,,False,2026-09-22 16:13
forum_identity_recon_s44,forum,thgl-forum,identity-maps,0.001,on,global,44,False,0.6299053634937007,0.6413353446045857,0.6996208669680223,4,4.0,630271.0,630143.0,0.0,True,,,False,2026-09-22 16:21
forum_identity_recon_s45,forum,thgl-forum,identity-maps,0.001,on,global,45,False,0.634022472126827,0.644469473926116,0.6897021113905804,2,4.0,630271.0,630143.0,0.0,True,,,False,2026-09-22 16:44
forum_nodeframe_rec_s43,forum,thgl-forum,node-frame,0.001,on,global,43,False,0.6248672352679295,0.6336383677091704,0.677759592486493,3,4.0,630335.0,630335.0,0.0,True,,,False,2026-09-22 14:08
forum_nodeframe_recoff_s43,forum,thgl-forum,node-frame,0.001,off,global,43,False,0.4043872228701511,0.3979765736422356,0.5653252446199326,4,4.0,630206.0,630206.0,0.0,True,,,False,2026-09-22 15:36
forum_nodeframe_recoff_s44,forum,thgl-forum,node-frame,0.001,off,global,44,False,0.4222048465632748,0.4137728217144167,0.5538213182923601,2,4.0,630206.0,630206.0,0.0,True,,,False,2026-09-22 21:24
forum_nodeframe_recoff_s45,forum,thgl-forum,node-frame,0.001,off,global,45,False,0.3749130037730049,0.363845696709841,0.5209769297968881,2,4.0,630206.0,630206.0,0.0,True,,,False,2026-09-22 21:28
forum_nodeframe_recoff_s46,forum,thgl-forum,node-frame,0.001,off,global,46,False,0.4043478914684701,0.4011103362298743,0.5618285504501646,4,4.0,630206.0,630206.0,0.0,True,,,False,2026-09-22 15:57
forum_nodeframe_recoff_s47,forum,thgl-forum,node-frame,0.001,off,global,47,False,0.3526994919364464,0.3345182710952508,0.5338782990960653,3,4.0,630206.0,630206.0,0.0,True,,,False,2026-09-22 16:26
forum_nodeframe_recon_s44,forum,thgl-forum,node-frame,0.001,on,global,44,False,0.6337648864534048,0.6429960434267246,0.6992223997250815,2,4.0,630335.0,630335.0,0.0,True,,,False,2026-09-22 21:27
forum_nodeframe_recon_s45,forum,thgl-forum,node-frame,0.001,on,global,45,False,0.6445898620488714,0.6516327113037111,0.7127924630543465,2,4.0,630335.0,630335.0,0.0,True,,,False,2026-09-22 21:36
forum_nodeframe_recon_s46,forum,thgl-forum,node-frame,0.001,on,global,46,False,0.6341072775536221,0.644951254927469,0.7006874679588987,3,4.0,630335.0,630335.0,0.0,True,,,False,2026-09-22 17:17
forum_nodeframe_recon_s47,forum,thgl-forum,node-frame,0.001,on,global,47,False,0.6100674500245004,0.626221910930718,0.6701530707793115,4,4.0,630335.0,630335.0,0.0,True,,,False,2026-09-22 17:59
forum_tsd_recoff_s44,forum,thgl-forum,tsd,0.001,off,global,44,False,0.2301540411082932,0.2322758943876626,0.3730194829632712,4,4.0,630142.0,630142.0,0.0,True,,,False,2026-09-22 15:27
forum_tsd_recoff_s45,forum,thgl-forum,tsd,0.001,off,global,45,False,0.3964514296808693,0.3905994444989896,0.5332660060305372,3,4.0,630142.0,630142.0,0.0,True,,,False,2026-09-22 15:51
forum_tsd_recon_s44,forum,thgl-forum,tsd,0.001,on,global,44,False,0.6054145553226816,0.6219533629052207,0.6705958743556476,4,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 16:49
forum_tsd_recon_s45,forum,thgl-forum,tsd,0.001,on,global,45,False,0.607230651475935,0.6170439947116745,0.6621806341501827,2,4.0,630271.0,630271.0,0.0,True,,,False,2026-09-22 17:10
icews_coreoff_recon_s47,icews,tkgl-icews,core-off,0.003,on,global,47,False,0.2922113960815079,0.3005351323448598,0.4916755845118279,2,5.0,660041.0,34256.0,0.0,True,,,False,2026-09-23 07:17
