tag,split,queries,snapshots,candidates,pad_masked,pos_nonfinite,pos_nan,pos_posinf,pos_neginf,neg_nan,neg_posinf,neg_neginf,queries_with_invalid_neg,queries_affected,transformed_scores,rr_tgb_raw,rr_guarded,rr_conservative,hits_guarded,state_nonfinite_snapshots,rec_nonfinite_snapshots,mrr_tgb_raw,mrr_guarded,mrr_conservative,hits10_guarded,parity_raw_vs_guarded,parity_guarded_vs_conservative,run,group
forum_attention_recoff_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1239971.1941552488,1239971.1941552488,1239971.1941552488,2040371.0,0,0,0.3479494760447352,0.3479494760447352,0.3479494760447352,0.5725504138590374,True,True,forum_attention_recoff_s46,forum
forum_attention_recon_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2281344.691999112,2281344.691999112,2281344.691999112,2495888.0,0,0,0.6261138372479282,0.6261138372479282,0.6261138372479282,0.6849951340109308,True,True,forum_attention_recon_s46,forum
forum_attention_recon_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2269226.4078395604,2269226.4078395604,2269226.4078395604,2457557.0,0,0,0.6367697438105114,0.6367697438105114,0.6367697438105114,0.6896173673474942,True,True,forum_attention_recon_s46,forum
forum_coreoff_recoff_s44,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,873660.0226719333,873660.0226719333,873660.0226719333,1352456.0,0,0,0.2397755285133603,0.2397755285133603,0.2397755285133603,0.3711808298144337,True,True,forum_coreoff_recoff_s44,forum
forum_coreoff_recoff_s44,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,791379.0005157528,791379.0005157528,791379.0005157528,1243157.0,0,0,0.2220696011973536,0.2220696011973536,0.2220696011973536,0.3488434480012504,True,True,forum_coreoff_recoff_s44,forum
forum_coreoff_recon_s44,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2196533.714115948,2196533.714115948,2196533.714115948,2328396.0,0,0,0.6028375094797448,0.6028375094797448,0.6028375094797448,0.6390270437016866,True,True,forum_coreoff_recon_s44,forum
forum_coreoff_recon_s44,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2195443.5029720827,2195443.5029720827,2195443.5029720827,2306544.0,0,0,0.6160654538957869,0.6160654538957869,0.6160654538957869,0.6472414682349825,True,True,forum_coreoff_recon_s44,forum
forum_curonly_recon_s44,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2313642.040687359,2313642.040687359,2313642.040687359,2553914.0,0,0,0.6349778274161183,0.6349778274161183,0.6349778274161183,0.7009203388462912,True,True,forum_curonly_recon_s44,forum
forum_curonly_recon_s44,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2298383.5123335235,2298383.5123335235,2298383.5123335235,2505034.0,0,0,0.6449515461616279,0.6449515461616279,0.6449515461616279,0.7029399327038856,True,True,forum_curonly_recon_s44,forum
forum_diag_recoff_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1038126.3521920752,1038126.3521920752,1038126.3521920752,1933512.0,0,0,0.2849132251687933,0.2849132251687933,0.2849132251687933,0.5306513399446381,True,True,forum_diag_recoff_s43,forum
forum_diag_recoff_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,972139.7272655062,972139.7272655062,972139.7272655062,1875816.0,0,0,0.2727930377243537,0.2727930377243537,0.2727930377243537,0.5263744814660687,True,True,forum_diag_recoff_s43,forum
forum_diag_recoff_s47,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1491235.3028774534,1491235.3028774534,1491235.3028774534,2108877.0,0,0,0.4092687356709805,0.4092687356709805,0.4092687356709805,0.5787801709161507,True,True,forum_diag_recoff_s47,forum
forum_diag_recoff_s47,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1433975.254145804,1433975.254145804,1433975.254145804,2041553.0,0,0,0.402389136693669,0.402389136693669,0.402389136693669,0.5728820959840927,True,True,forum_diag_recoff_s47,forum
forum_diag_recon_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2298581.3948232704,2298581.3948232704,2298581.3948232704,2554395.0,0,0,0.6308444411696351,0.6308444411696351,0.6308444411696351,0.7010523490404423,True,True,forum_diag_recon_s46,forum
forum_diag_recon_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2291181.5115592387,2291181.5115592387,2291181.5115592387,2511686.0,0,0,0.6429305859911834,0.6429305859911834,0.6429305859911834,0.7048065566428605,True,True,forum_diag_recon_s46,forum
forum_diag_recon_s47,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2334701.6845941227,2334701.6845941227,2334701.6845941227,2571418.0,0,0,0.6407576354844836,0.6407576354844836,0.6407576354844836,0.7057243023357297,True,True,forum_diag_recon_s47,forum
