batch,shift_sec,queries,neural_changed_frac,neural_mean_abs_delta,rec_changed_frac,pos_rec_mean,neg_rec_mean,pos_total_mean,mrr,rec_nonzero_frac,pos_rec_delta_vs_t0,mrr_delta_vs_t0
9,2592000.0,27,0.0,0.0,,6.933384895324707,0.02991314046084881,10.216861724853516,0.55908203125,0.7777777910232544,-1.032707691192627,8.827447891235352e-05
10,0.0,50,0.0,0.0,,7.512063026428223,0.02689824439585209,10.279568672180176,0.5651487112045288,0.7999999523162842,0.0,0.0
10,3600.0,50,0.0,0.0,,7.48241662979126,0.026855692267417908,10.249922752380371,0.5651487112045288,0.7999999523162842,-0.02964639663696289,0.0
10,86400.0,50,0.0,0.0,,7.218944072723389,0.02630482241511345,9.9864501953125,0.5645931363105774,0.7999999523162842,-0.293118953704834,-0.000555574893951416
10,2592000.0,50,0.0,0.0,,6.482696533203125,0.02362787537276745,9.250202178955078,0.5539621114730835,0.7999999523162842,-1.0293664932250977,-0.011186599731445312
11,0.0,28,0.0,0.0,,5.462133407592773,0.015063807368278503,8.053252220153809,0.507368803024292,0.6785714626312256,0.0,0.0
11,3600.0,28,0.0,0.0,,5.445741176605225,0.015039368532598019,8.036860466003418,0.507368803024292,0.6785714626312256,-0.016392230987548828,0.0
11,86400.0,28,0.0,0.0,,5.26669979095459,0.01471276767551899,7.857818603515625,0.507368803024292,0.6785714626312256,-0.1954336166381836,0.0
11,2592000.0,28,0.0,0.0,,4.672031402587891,0.013288681395351887,7.263150691986084,0.5014163851737976,0.6785714626312256,-0.7901020050048828,-0.005952417850494385
12,0.0,39,0.0,0.0,,7.28019380569458,0.016565918922424316,10.168801307678223,0.7252832055091858,0.8205128312110901,0.0,0.0
12,3600.0,39,0.0,0.0,,7.245068550109863,0.016530297696590424,10.133676528930664,0.7252832055091858,0.8205128312110901,-0.0351252555847168,0.0
12,86400.0,39,0.0,0.0,,6.959826469421387,0.0161069855093956,9.848434448242188,0.7167362570762634,0.8205128312110901,-0.32036733627319336,-0.008546948432922363
12,2592000.0,39,0.0,0.0,,6.224717140197754,0.014509178698062897,9.113324165344238,0.7167362570762634,0.8205128312110901,-1.0554766654968262,-0.008546948432922363
13,0.0,21,0.0,0.0,,8.102936744689941,0.019669460132718086,10.493486404418945,0.7285459637641907,0.8571428656578064,0.0,0.0
