cell,scenario,method,segment,mean,std,count,alpha
E1_a1_N4,A,legs,end,0.4885889591648288,0.1230771956437537,50,0.0
E1_a1_N4,A,legs,post,0.46105198670013736,0.09538626202063828,50,0.0
E1_a1_N4,A,legs,pre,0.400377435542656,0.09427858177919128,50,0.0
E1_a1_N4,A,point,all,1.1197870317636063,0.1808500874425099,50,100.0
E1_a1_N4,A,point,end,0.8731922940121706,0.22756743071357896,50,100.0
E1_a1_N4,A,point,post,1.2328201212827459,0.2331944880620209,50,100.0
E1_a1_N4,A,point,pre,1.0733742666103983,0.22524169135286884,50,100.0
E1_a1_N8,A,cur,all,0.33811835745399565,0.03315199909576596,50,1.0
E1_a1_N8,A,cur,end,0.35423796358402204,0.101384340288903,50,1.0
E1_a1_N8,A,cur,post,0.328531697048778,0.05062202960233537,50,1.0
E1_a1_N8,A,cur,pre,0.3530465293961971,0.0452750305073795,50,1.0
E1_a1_N8,A,hist,all,0.3059087985146753,0.03897383113676554,50,1.0
E1_a1_N8,A,hist,end,0.35390752106401197,0.10156587411414708,50,1.0
E1_a1_N8,A,hist,post,0.3277497131596387,0.05071021362332107,50,1.0
E1_a1_N8,A,hist,pre,0.29668597180340905,0.05565138015503779,50,1.0
E1_a1_N8,A,in,all,0.3060153654034779,0.03903572769880424,50,1.0
E1_a1_N8,A,in,end,0.35410243342546943,0.10176694014804326,50,1.0
E1_a1_N8,A,in,post,0.32782423123459375,0.05063669205814781,50,1.0
E1_a1_N8,A,in,pre,0.2968188522244601,0.05580813223602302,50,1.0
E1_a1_N8,A,legs,all,0.38632905221292096,0.048138279851308835,50,0.0
E1_a1_N8,A,legs,end,0.4476155257249056,0.13217338974745393,50,0.0
E1_a1_N8,A,legs,post,0.4162934945603612,0.06516824337557314,50,0.0
E1_a1_N8,A,legs,pre,0.372464145426404,0.06802330420414225,50,0.0
E1_a1_N8,A,point,all,0.8305816071482198,0.09296140623968017,50,100.0
E1_a1_N8,A,point,end,0.7047615360488081,0.16689278964732396,50,100.0
E1_a1_N8,A,point,post,0.893838307790979,0.1313942627388916,50,100.0
E1_a1_N8,A,point,pre,0.8031081188256857,0.13439216893562214,50,100.0
E2_N16_snr-10,A,cur,all,0.5271484395546875,0.028932448273900287,50,1.0
E2_N16_snr-10,A,cur,end,1.268572793619245,1.1081185103943119,50,1.0
E2_N16_snr-10,A,cur,post,0.4552885727351868,0.06738577737780019,50,1.0
E2_N16_snr-10,A,cur,pre,0.5987981292502298,0.051325784898514935,50,1.0
E2_N16_snr-10,A,hist,all,0.27813622039702235,0.051472822238977436,50,10.0
E2_N16_snr-10,A,hist,end,0.5885859406099474,0.4991870637639072,50,10.0
E2_N16_snr-10,A,hist,post,0.28867040162163077,0.06527647533814324,50,10.0
E2_N16_snr-10,A,hist,pre,0.2786305400409722,0.0631890836456772,50,10.0
E2_N16_snr-10,A,in,all,0.21142863638249268,0.04134337992942488,50,1000.0
E2_N16_snr-10,A,in,end,0.4241525620336031,0.43718660818919053,50,1000.0
E2_N16_snr-10,A,in,post,0.22549442066311845,0.06286838520424927,50,1000.0
E2_N16_snr-10,A,in,pre,0.20541392213138013,0.05436381657173269,50,1000.0
E2_N16_snr-10,A,legs,all,0.6532803682060946,0.023719141801373255,50,0.0
E2_N16_snr-10,A,legs,end,1.95837810704833,1.6994229104671246,50,0.0
E2_N16_snr-10,A,legs,post,0.6877796129385944,0.09785002975935855,50,0.0
E2_N16_snr-10,A,legs,pre,0.6470083816234287,0.08576446126910425,50,0.0
E2_N16_snr-10,A,point,all,0.7108784536978071,0.043427457245634286,50,1000.0
E2_N16_snr-10,A,point,end,0.949519785697162,0.6565128155490849,50,1000.0
E2_N16_snr-10,A,point,post,0.7439499427170573,0.09663744897080133,50,1000.0
E2_N16_snr-10,A,point,pre,0.707523713410246,0.10665286345766813,50,1000.0
E2_N16_snr-10,B,cur,all,0.13988397078738998,0.020011108712046862,50,1000.0
E2_N16_snr-10,B,cur,end,0.4066937722870387,0.44062734103294665,50,1000.0
E2_N16_snr-10,B,cur,post,0.14848499254314138,0.03016607742643193,50,1000.0
E2_N16_snr-10,B,cur,pre,0.13627158754273586,0.030244829487467782,50,1000.0
E2_N16_snr-10,B,hist,all,0.5041053637099749,0.028511177010970196,50,1.0
