cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
E1_a1_N8,A,pre,hist-legs,50,-0.07577817362299494,-0.08138256465428997,-0.07049382087084442,50,0,-0.20345092152760813
E1_a1_N8,A,pre,cur-legs,50,-0.01941761603020695,-0.028642261887917818,-0.01104171919355848,37,13,-0.052132846258201034
E2_N16_snr-10,A,all,hist-cur,50,-0.24901221915766505,-0.2604646930274129,-0.23751823583840898,50,0,-0.4723759011181366
E2_N16_snr-10,A,all,hist-in,50,0.06670758401452968,0.062800711604893,0.07081367363496605,0,50,0.31550874638310533
E2_N16_snr-10,A,all,in-cur,50,-0.3157198031721947,-0.3258097230507219,-0.305313821087545,50,0,-0.5989201133534633
E2_N16_snr-10,A,all,hist-legs,50,-0.37514414780907224,-0.3857979155904723,-0.3637679108067755,50,0,-0.5742467798920954
E2_N16_snr-10,A,all,cur-legs,50,-0.1261319286514072,-0.13219533520355842,-0.11978346059218509,50,0,-0.19307472685543117
E2_N16_snr-10,A,end,hist-cur,50,-0.6799868530092976,-0.8729921643422206,-0.5274536444168543,50,0,-0.5360250956267881
E2_N16_snr-10,A,end,hist-in,50,0.16443337857634432,0.1259530048334748,0.21107716006239172,2,48,0.3876750803719471
E2_N16_snr-10,A,end,in-cur,50,-0.8444202315856418,-1.0541310596299294,-0.6671784595886989,50,0,-0.6656458626836118
E2_N16_snr-10,A,end,hist-legs,50,-1.3697921664383828,-1.7267591228568937,-1.0852854442023203,50,0,-0.6994523486084796
E2_N16_snr-10,A,end,cur-legs,50,-0.6898053134290849,-0.8718063819044224,-0.5494079877382376,50,0,-0.35223295794945364
E2_N16_snr-10,A,post,hist-cur,50,-0.16661817111355604,-0.17937962122729212,-0.15317409845713725,50,0,-0.365961680330746
E2_N16_snr-10,A,post,hist-in,50,0.06317598095851235,0.05674795663143539,0.0697482189739541,0,50,0.28016649269072275
E2_N16_snr-10,A,post,in-cur,50,-0.2297941520720684,-0.2431890013534704,-0.2159406923573804,50,0,-0.5047219847657487
E2_N16_snr-10,A,post,hist-legs,50,-0.39910921131696353,-0.4188837878856844,-0.3801252185027331,50,0,-0.5802864810309467
E2_N16_snr-10,A,post,cur-legs,50,-0.23249104020340752,-0.24271431168088559,-0.222240305149706,50,0,-0.33803130512995383
E2_N16_snr-10,A,pre,hist-cur,50,-0.3201675892092576,-0.3324380380794879,-0.3081951252230573,50,0,-0.534683683147353
E2_N16_snr-10,A,pre,hist-in,50,0.07321661790959205,0.06547060161343962,0.08122990158333283,0,50,0.35643454518512935
E2_N16_snr-10,A,pre,in-cur,50,-0.39338420711884964,-0.40384889673863555,-0.3826417225347421,50,0,-0.6569563061451376
E2_N16_snr-10,A,pre,hist-legs,50,-0.36837784158245657,-0.3861033605980004,-0.35163560940754907,50,0,-0.5693555942167987
E2_N16_snr-10,A,pre,cur-legs,50,-0.048210252373198925,-0.0614758127190074,-0.035588102891409824,42,8,-0.07451256234460686
E2_N16_snr-10,B,all,hist-cur,50,0.364221392922585,0.3558140622550058,0.3723147243981374,0,50,2.6037393053144453
E2_N16_snr-10,B,all,hist-in,50,0.0003835566194381756,3.426847374970474e-05,0.0007423880933436292,21,29,0.0007614453335931052
E2_N16_snr-10,B,all,in-cur,50,0.3638378363031468,0.3553997563733918,0.37234359004476175,0,50,2.600997342691572
E2_N16_snr-10,B,all,hist-legs,50,-0.1289660494270727,-0.13567105468638324,-0.12216369823253669,50,0,-0.20371485230711886
E2_N16_snr-10,B,all,cur-legs,50,-0.4931874423496577,-0.5003382894626822,-0.4858957690701352,50,0,-0.7790391922860244
E2_N16_snr-10,B,end,hist-cur,50,0.8567191804587343,0.6708667538793884,1.074987574260323,0,50,2.1065461013602
E2_N16_snr-10,B,end,hist-in,50,-0.0011698465233916321,-0.0022126113141918194,-0.00018936042931262166,33,17,-0.0009250849561355073
E2_N16_snr-10,B,end,in-cur,50,0.857889026982126,0.677087999587996,1.083231835485453,0,50,2.109422581412533
E2_N16_snr-10,B,end,hist-legs,50,-0.692012540239121,-0.8787021628077604,-0.5494624864389699,50,0,-0.35389358618966665
