cell,scenario,method,alpha,segment,mean,std,count
E2_N16_snr0,A,in,3.0,post,0.19296311321116402,0.06110054064970809,50
E2_N16_snr0,A,in,3.0,pre,0.1743978329771776,0.053275397153241505,50
E2_N16_snr0,A,in,10.0,all,0.16703430681430018,0.047022114129546724,50
E2_N16_snr0,A,in,10.0,end,0.2286221943229689,0.18192553378338708,50
E2_N16_snr0,A,in,10.0,post,0.17904565925587385,0.06425791537432991,50
E2_N16_snr0,A,in,10.0,pre,0.1608433053337108,0.05532288194566908,50
E2_N16_snr0,A,in,30.0,all,0.16271396854115575,0.04831019951637647,50
E2_N16_snr0,A,in,30.0,end,0.19940677020297595,0.16161443162684896,50
E2_N16_snr0,A,in,30.0,post,0.174450576954187,0.0656594805045836,50
E2_N16_snr0,A,in,30.0,pre,0.15640146403111735,0.056210394135129405,50
E2_N16_snr0,A,in,100.0,all,0.16131964542813912,0.04876558086551008,50
E2_N16_snr0,A,in,100.0,end,0.18844056725172945,0.1549128358811903,50
E2_N16_snr0,A,in,100.0,post,0.17293782770058028,0.06617368383136796,50
E2_N16_snr0,A,in,100.0,pre,0.15499289658313256,0.05654538318664527,50
E2_N16_snr0,A,in,300.0,all,0.16105379194930466,0.04886186712693119,50
E2_N16_snr0,A,in,300.0,end,0.18597585940482947,0.1532436619120438,50
E2_N16_snr0,A,in,300.0,post,0.17264222155059986,0.06628284817051416,50
E2_N16_snr0,A,in,300.0,pre,0.15473338838816642,0.056616688653278825,50
E2_N16_snr0,A,in,1000.0,all,0.16100913486127205,0.04887934262797508,50
E2_N16_snr0,A,in,1000.0,end,0.18550780358021762,0.15281657405710314,50
E2_N16_snr0,A,in,1000.0,post,0.17259078768191596,0.06630685534315771,50
E2_N16_snr0,A,in,1000.0,pre,0.15469228688703224,0.056625877687421555,50
E2_N16_snr0,A,legs,0.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,0.0,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,0.0,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,0.0,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,0.01,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,0.01,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,0.01,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,0.01,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,0.03,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,0.03,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,0.03,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,0.03,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,0.1,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,0.1,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,0.1,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,0.1,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,0.3,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,0.3,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,0.3,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,0.3,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,1.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,1.0,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,1.0,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,1.0,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,3.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,3.0,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,3.0,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,3.0,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,10.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,10.0,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,10.0,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,10.0,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,30.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,30.0,end,0.63261511873283,0.540553245080727,50
E2_N16_snr0,A,legs,30.0,post,0.2719104650950472,0.05479907775058419,50
E2_N16_snr0,A,legs,30.0,pre,0.2504570366182761,0.04949796635269444,50
E2_N16_snr0,A,legs,100.0,all,0.25563941252151623,0.032084890376918404,50
E2_N16_snr0,A,legs,100.0,end,0.63261511873283,0.540553245080727,50
