cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
R3_many,B,all,hist-in,50,4.811735589854705e-07,-3.065247052552074e-07,1.3311309624968464e-06,21,29,7.69204543100685e-06
R3_many,B,all,in-cur,50,0.0009363906680375701,0.0007598805309111998,0.0011264472350668916,3,47,0.015196631455866987
R3_many,B,all,hist-legs,50,-0.0011668691735189697,-0.001509474540929912,-0.0008163872767721942,41,9,-0.018311859886627483
R3_many,B,all,cur-legs,50,-0.0021037410151155257,-0.0023639849972028064,-0.0018285454698699702,48,2,-0.03301433578056616
R3_many,B,post,hist-cur,50,2.080908234664322e-05,2.777272516737349e-06,3.968996360217661e-05,18,32,0.0002547819713837578
R3_many,B,post,hist-in,50,1.2566719127148074e-06,-5.987572272562364e-07,3.661486239878984e-06,25,25,1.538274063628677e-05
R3_many,B,post,in-cur,50,1.9552410433928413e-05,2.0485339446795282e-06,3.8617084959688705e-05,18,32,0.00023939554818784377
R3_many,B,post,hist-legs,50,-0.0037581628418344565,-0.0043438370078341965,-0.003208160969053728,49,1,-0.04397927153631765
R3_many,B,post,cur-legs,50,-0.0037789719241811,-0.004363690230241815,-0.0032371581822995257,49,1,-0.044222786339017876
R3_many,B,pre,hist-cur,50,0.0012247833206634642,0.0009951992527195573,0.0014460245350550373,3,47,0.02058103400006437
R3_many,B,pre,hist-in,50,7.010464574512543e-07,-2.766571238868864e-07,1.727333103363399e-06,23,27,1.1542828560590236e-05
R3_many,B,pre,in-cur,50,0.001224082274206013,0.0009846711761959653,0.0014524179336705839,3,47,0.02056925374413419
R3_many,B,pre,hist-legs,50,-0.0006125219898039863,-0.0010691387230340927,-0.00016139876882311524,31,19,-0.0099844497176153
R3_many,B,pre,cur-legs,50,-0.0018373053104674504,-0.0021787792768472817,-0.0015120972207829564,46,4,-0.02994910026681697
R3_noisy_maps,A,all,hist-cur,50,-0.0007398962115061305,-0.0009646983419589573,-0.0005127066723961075,40,10,-0.008628501729808185
R3_noisy_maps,A,all,hist-in,50,-8.447359393756737e-07,-7.463742829582758e-06,6.021313436434231e-06,31,19,-9.936760312530756e-06
R3_noisy_maps,A,all,in-cur,50,-0.0007390514755667549,-0.0009780919200088089,-0.0005113602548161666,40,10,-0.008618650610960994
R3_noisy_maps,A,all,hist-legs,50,-0.0011972441755951433,-0.0014253857162680077,-0.0009673166515376088,46,4,-0.013887918859753217
R3_noisy_maps,A,all,cur-legs,50,-0.0004573479640890127,-0.0005448745465131747,-0.000367672695272456,45,5,-0.005305192996895714
R3_noisy_maps,A,post,hist-cur,50,0.00010608191738780873,-0.00013860082330018598,0.00034567698213118834,25,25,0.0012137661578689102
R3_noisy_maps,A,post,hist-in,50,1.049538778511161e-06,-1.1799383790939514e-05,1.4313493679728799e-05,24,26,1.1994179659493438e-05
R3_noisy_maps,A,post,in-cur,50,0.00010503237860929757,-0.00014272991560333997,0.00034701676168994117,25,25,0.0012017575641132855
R3_noisy_maps,A,post,hist-legs,50,-0.0014131122887769776,-0.001666013082511326,-0.0011527582362263627,47,3,-0.0158922783785725
R3_noisy_maps,A,post,cur-legs,50,-0.0015191942061647864,-0.0016453789963574994,-0.0013965238411632653,50,0,-0.01708530696904558
R3_noisy_maps,A,pre,hist-cur,50,-0.0015590506711802752,-0.001892629444327195,-0.0012258563905965302,45,5,-0.01791002730756297
R3_noisy_maps,A,pre,hist-in,50,-4.141682457540347e-06,-1.4344917657192559e-05,6.448047457952102e-06,26,24,-4.844405623947904e-05
R3_noisy_maps,A,pre,in-cur,50,-0.0015549089887227352,-0.001888017230316512,-0.001212985106571144,44,6,-0.01786244858078712
R3_noisy_maps,A,pre,hist-legs,50,-0.0010508342798629105,-0.0013708191733251135,-0.0007320230963831575,43,7,-0.01214264256329623
R3_noisy_maps,A,pre,cur-legs,50,0.0005082163913173649,0.00027186324251903725,0.0007547014351116498,16,34,0.005872562498989008
R3_noisy_maps,B,all,hist-cur,50,0.0011011971795967864,0.0008039982709830645,0.0013844042580699871,7,43,0.017724864376391074
R3_noisy_maps,B,all,hist-in,50,6.787206345985897e-07,6.801396760373891e-08,1.3028088640192651e-06,19,31,1.073453311767647e-05
R3_noisy_maps,B,all,in-cur,50,0.0011005184589621877,0.0008103339992762183,0.001378347926669762,7,43,0.017713939692401124
R3_noisy_maps,B,all,hist-legs,50,-0.0005095273675245441,-0.0006147573226986228,-0.0004055079099429404,45,5,-0.007994093417209039
R3_noisy_maps,B,all,cur-legs,50,-0.00161072454712133,-0.0018999476718680925,-0.001306043676728193,45,5,-0.025271032175635554
R3_noisy_maps,B,post,hist-cur,50,0.0008024172667777183,0.0005154829619644396,0.001071963376747543,8,42,0.012449093519802888
R3_noisy_maps,B,post,hist-in,50,1.4620791567045156e-06,4.508060045517945e-07,2.4716381723225537e-06,18,32,2.240499669859986e-05
R3_noisy_maps,B,post,in-cur,50,0.0008009551876210139,0.0005225325243207737,0.001061461730197302,8,42,0.012426410109426812
R3_noisy_maps,B,post,hist-legs,50,-0.0011113766256417032,-0.0012135180375650544,-0.0010090183323832223,50,0,-0.01674524787581055
R3_noisy_maps,B,post,cur-legs,50,-0.0019137938924194214,-0.002265229821139192,-0.001548988856878317,46,4,-0.028835367212507075
R3_noisy_maps,B,pre,hist-cur,50,0.0014316890129669273,0.0010672045648324354,0.0017725606860817412,6,44,0.0230192926419373
R3_noisy_maps,B,pre,hist-in,50,-1.4492762410528437e-07,-1.0701031056809527e-06,7.030456310411459e-07,20,30,-2.2777688080652973e-06
R3_noisy_maps,B,pre,in-cur,50,0.001431833940591033,0.0010648143535453491,0.0017756284162423744,6,44,0.023021622848679806
R3_noisy_maps,B,pre,hist-legs,50,3.122514578803082e-05,-0.00015491829332233393,0.00021768908222736402,26,24,0.0004909950535138754
R3_noisy_maps,B,pre,cur-legs,50,-0.0014004638671788966,-0.0017347124990687722,-0.0010554130596394176,44,6,-0.022021380975371752
R3_tau_shift,A,all,hist-cur,50,-0.000326844593053687,-0.0006332188952000714,1.7624131699895228e-05,33,17,-0.0037955900513999153
R3_tau_shift,A,all,hist-in,50,1.8518338356854348e-06,-1.4475421304483217e-06,5.465915337634104e-06,27,23,2.158742914198446e-05
