cell,scenario,method,segment,mean,std,count,alpha
d3_theta45,A,in,post,0.08114652035227211,0.012440033777754851,50,0.1
d3_theta45,A,in,pre,0.08024015444344947,0.014053830652512818,50,0.1
d3_theta45,A,legs,all,0.08078626806160623,0.007452208597151732,50,0.0
d3_theta45,A,legs,post,0.08283913287937546,0.012374956903906048,50,0.0
d3_theta45,A,legs,pre,0.08192137960504522,0.013913773787191356,50,0.0
d3_theta45,A,point,all,0.19698592550144606,0.020900765709936132,50,3.0
d3_theta45,A,point,post,0.2008332257007059,0.035858323076568006,50,3.0
d3_theta45,A,point,pre,0.201653048421802,0.031866336412655835,50,3.0
d3_theta45,B,cur,all,0.061188288720550925,0.0015258878027221549,50,0.1
d3_theta45,B,cur,post,0.06267914098174061,0.008064168155064388,50,0.1
d3_theta45,B,cur,pre,0.062163938342858334,0.007429274261688197,50,0.1
d3_theta45,B,hist,all,0.06251927402006953,0.0012940784900743896,50,0.03
d3_theta45,B,hist,post,0.06376008481895414,0.008188004534389016,50,0.03
d3_theta45,B,hist,pre,0.0637803825178702,0.0074131218197469526,50,0.03
d3_theta45,B,in,all,0.06251944759769587,0.0012944119555331035,50,0.03
d3_theta45,B,in,post,0.06375993562685095,0.008188810309863867,50,0.03
d3_theta45,B,in,pre,0.0637809151853115,0.007413138350085315,50,0.03
d3_theta45,B,legs,all,0.0632581622221609,0.001308588582438403,50,0.0
d3_theta45,B,legs,post,0.06483861238033718,0.008398835199309555,50,0.0
d3_theta45,B,legs,pre,0.06423473788553007,0.0075896533057391476,50,0.0
d3_theta45,B,point,all,0.25233495417690627,0.010472591862902406,50,1.0
d3_theta45,B,point,post,0.226952361980191,0.03108310099813092,50,1.0
d3_theta45,B,point,pre,0.2835617463001678,0.024544435528807328,50,1.0
frac0.1,A,cur,all,0.0682594706551561,0.003674235293976437,50,0.03
frac0.1,A,cur,post,0.06913420413125346,0.0105068442923159,50,0.03
frac0.1,A,cur,pre,0.07115152332355346,0.011033142328031757,50,0.03
frac0.1,A,hist,all,0.06739946925842924,0.0039111929082608155,50,0.1
frac0.1,A,hist,post,0.06850359906986216,0.01042876821733822,50,0.1
frac0.1,A,hist,pre,0.06998728255695102,0.010843882718729159,50,0.1
frac0.1,A,in,all,0.06739781876202873,0.003912321293672428,50,0.1
