cell,scenario,method,alpha,segment,mean,std,count
N32,B,in,0.3,post,0.08695315600107863,0.014307506457667141,50
N32,B,in,0.3,pre,0.1258803328049908,0.013034208877862833,50
N32,B,in,1.0,all,0.17615951525374304,0.024696102439954154,50
N32,B,in,1.0,post,0.11215730224565315,0.02894564877673577,50
N32,B,in,1.0,pre,0.23036961517423948,0.022251671801580872,50
N32,B,in,3.0,all,0.26904493607547214,0.040202157541322156,50
N32,B,in,3.0,post,0.1574676183426954,0.04833229364016232,50
N32,B,in,3.0,pre,0.3577380672174376,0.03042303760197713,50
N32,B,in,10.0,all,0.3450400182066326,0.052137342593644484,50
N32,B,in,10.0,post,0.1982561774327546,0.06368236926432994,50
N32,B,in,10.0,pre,0.4599837796809226,0.03502889132471472,50
N32,B,in,30.0,all,0.38135808004849703,0.057849592321760034,50
N32,B,in,30.0,post,0.2182956351528763,0.07109346890025055,50
N32,B,in,30.0,pre,0.5084738454307882,0.03661780615886059,50
N32,B,in,100.0,all,0.39910174801718834,0.060799516540829004,50
N32,B,in,100.0,post,0.22827538460414512,0.07487489431140218,50
N32,B,in,100.0,pre,0.5320148903322001,0.03739684989595701,50
N32,B,legs,0.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,0.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,0.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,0.01,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,0.01,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,0.01,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,0.03,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,0.03,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,0.03,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,0.1,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,0.1,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,0.1,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,0.3,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,0.3,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,0.3,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,1.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,1.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,1.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,3.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,3.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,3.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,10.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,10.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,10.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,30.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,30.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,30.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,legs,100.0,all,0.08856859198218389,0.0017337860216849077,50
N32,B,legs,100.0,post,0.0893804553018931,0.013181084005501062,50
N32,B,legs,100.0,pre,0.09334475370555728,0.014549298145095202,50
N32,B,point,0.0,all,0.31626786915915395,0.0020697850665125066,50
N32,B,point,0.0,post,0.31898570576049795,0.0452582436996545,50
N32,B,point,0.0,pre,0.3336252473851156,0.05293485952033285,50
N32,B,point,0.01,all,0.3141986674434659,0.002094275500572731,50
N32,B,point,0.01,post,0.3168893168107511,0.04493907235902316,50
N32,B,point,0.01,pre,0.3314494936148326,0.052586832450760186,50
N32,B,point,0.03,all,0.3102624767905198,0.002189263167206017,50
N32,B,point,0.03,post,0.3128392435818109,0.04432663511303494,50
N32,B,point,0.03,pre,0.32737015650397056,0.05189858463694505,50
N32,B,point,0.1,all,0.2984032633522547,0.0027198801238904574,50
N32,B,point,0.1,post,0.30002413361154984,0.042425413470608554,50
N32,B,point,0.1,pre,0.3156635161366311,0.049557669156300804,50
N32,B,point,0.3,all,0.27694205796652643,0.004557829672931168,50
N32,B,point,0.3,post,0.27242659060044067,0.03856962000869468,50
N32,B,point,0.3,pre,0.2985273646640392,0.04346024591830134,50
